Restaurant Name,Neighborhood,Cuisine Type,Address,Phone,Email,Website,Yelp URL,Private Dining / Event Info,Approximate Capacity,Notes
Jar Restaurant,Fairfax District,Modern American Chophouse,"8225 Beverly Blvd, Los Angeles, CA 90048",(323) 655-6566,Renata@thejar.com,https://www.thejar.com/,https://www.yelp.com/biz/jar-los-angeles,"Yes -- Lounge (16); Main dining (80); Private parties (120 seated/200 reception); Corporate lunch (20-80); Off-site catering (10-1000)","120 seated / 200 standing",By Chef Suzanne Tracht. 1940s supper club. OpenTable 4.5 stars.
AOC Wine Bar & Restaurant,Fairfax District,California-French small plates,"8700 W 3rd St, Los Angeles, CA 90048",(310) 859-9859,events@aocwinebar.com,https://www.aocwinebar.com/,https://www.yelp.com/biz/aoc-los-angeles-4,"Yes -- private space (40 seated/50 standing); semi-private areas; full buyouts. Parties 12+: events@aocwinebar.com","40 seated / 50 standing (private room)",James Beard Award-winning chef Suzanne Goin. LA Times Hall of Fame 2024.
Madre (Fairfax),Fairfax District,Oaxacan Mexican / Mezcal,"801 N Fairfax Ave #101, Los Angeles, CA 90046",(323) 850-8518,,https://madrerestaurants.com/,https://www.yelp.com/biz/madre-los-angeles,"Accommodates large parties; contact directly",,400+ bottles of mezcal. Live music Tuesdays 7-10pm. Established 2012.
Lucia,Fairfax District,Modern Afro-Caribbean,"351 N Fairfax Ave, Los Angeles, CA 90036",,reservations@luciala.com,https://www.luciala.com/,https://www.yelp.com/biz/lucia-los-angeles-3,"Contact via email for events",,Opened May 2025. Chef Cleophus Hethington (2x James Beard nominee). Reservations on Resy.
Pink's Hot Dogs,Fairfax District / La Brea,Hot Dogs,"709 N La Brea Ave, Los Angeles, CA 90038",(323) 931-4223,,https://www.pinkshollywood.com/,https://www.yelp.com/biz/pinks-hot-dogs-los-angeles-4,"None (counter service)",,Founded 1939. LA landmark. Open till midnight weekdays; 2am weekends.
Wirtshaus,Fairfax District / La Brea,German,"345 N La Brea Ave, Los Angeles, CA 90036",(323) 931-9291,,https://www.wirtshausla.com/,https://www.yelp.com/biz/wirtshaus-los-angeles-5,"Contact directly",,Modern German restaurant since 2011. Over 35 German beers.
Rosalind's Ethiopian,Little Ethiopia (Fairfax),Ethiopian,"1044 S Fairfax Ave, Los Angeles, CA 90019",(323) 936-2486,,https://www.rosalindsla.com/,https://www.yelp.com/biz/rosalinds-ethiopian-restaurant-los-angeles,"Full bar; contact directly","Booths tables and patio",Opened 1988. First Ethiopian restaurant on Fairfax. Open daily 11am-2am.
Messob Ethiopian,Little Ethiopia (Fairfax),Ethiopian,"1041 S Fairfax Ave, Los Angeles, CA 90019",(323) 938-8827,,https://www.messob.com/,https://www.yelp.com/biz/messob-ethiopian-restaurant-los-angeles-2,"Contact directly",,In Little Ethiopia since 1985. Ethiopian and vegan dishes.
Meals by Genet,Little Ethiopia (Fairfax),Ethiopian,"1053 S Fairfax Ave, Los Angeles, CA 90019",(323) 938-9304,,https://www.mealsbygenetla.com/,https://www.yelp.com/biz/meals-by-genet-los-angeles-2,"Contact directly",Small/intimate,Most recognizable Ethiopian restaurant in LA. Championed by Jonathan Gold. Dinner Wed-Sat only.
Little Ethiopia Restaurant,Little Ethiopia (Fairfax),Ethiopian,"1048 S Fairfax Ave, Los Angeles, CA 90019",(323) 930-2808,,https://www.littleethiopiarestaurants.com/,https://www.yelp.com/biz/little-ethiopia-restaurant-los-angeles-3,"Contact directly",,Open daily from 11am.
Rahel Ethiopian Veggie,Little Ethiopia (Fairfax),Ethiopian (vegan only),"1047 S Fairfax Ave, Los Angeles, CA 90019",(323) 937-8401,,https://rahelvegancuisine.com/,https://www.yelp.com/biz/rahel-ethiopian-vegan-cuisine-los-angeles,"Contact directly",,Only all-vegan restaurant in Little Ethiopia. Founded 2000.
Gracias Madre,West Hollywood / Fairfax,Plant-based Mexican,"8905 Melrose Ave, West Hollywood, CA 90069",(323) 978-2170,,https://graciasmadre.com/,https://www.yelp.com/biz/gracias-madre-west-hollywood-3,"Yes -- full restaurant buyout; curated menus; dedicated events manager; 5000 sq ft with garden patio","5000 sq ft venue",Part of Cafe Gratitude family. Seasonal organic plant-based Mexican cuisine.
The Night We Met,Mid-City / La Brea,Pan-Asian (supper club),"788 S La Brea Ave, Los Angeles, CA 90036",(323) 424-3108,,https://thenightwemetla.com/,https://www.yelp.com/biz/the-night-we-met-los-angeles-2,"Contact directly; intimate space with live music",,Cozy supper club with live jazz. Asian diasporic menu. Reservations on Resy.
Cento Pasta Bar,Mid-City,Italian (pasta),"4921 W Adams Blvd, Los Angeles, CA 90016",(323) 998-0404,,https://www.cento.group/,https://www.yelp.com/biz/cento-pasta-bar-los-angeles-3,"Contact directly",,Established 2015. Also operates CENTO Raw Bar.
Pip's on La Brea,Mid-City / La Brea,Fusion / Jazz Club,"1356 S La Brea Ave, Los Angeles, CA 90019",(323) 954-7477,,https://www.pipsonlabrea.com/,https://www.yelp.com/biz/pips-on-la-brea-los-angeles,"Restaurant + lounge + venue; good for events",,Combines restaurant lounge and live jazz venue. Sunday brunch.
Sycamore Kitchen,Mid-Wilshire / La Brea,American (brunch/bakery),"143 S La Brea Ave, Los Angeles, CA 90036",(323) 939-0151,,https://www.thesycamorekitchen.com/,https://www.yelp.com/biz/the-sycamore-kitchen-los-angeles-2,"Contact directly",,Possibly the most affordable quality brunch in LA.
Tacos Leo,Mid-Wilshire,Mexican (tacos al pastor),"1515 S La Brea Ave, Los Angeles, CA 90019",(323) 346-2001,,https://www.leostacostruck.com/,https://www.yelp.com/biz/leos-tacos-truck-los-angeles-11,None (taco truck),,Best al pastor taco in LA. Taco truck in a gas station parking lot.
Cafe Gratitude (Larchmont),Larchmont Village,Vegan / Plant-based,"639 N Larchmont Blvd, Los Angeles, CA 90004",(323) 580-6383,,https://www.cafegratitude.com/,https://www.yelp.com/biz/cafe-gratitude-los-angeles-14,"Can accommodate special events; call ahead",,Menu items named with affirmations. Chef Seizan Dreux Ellis.
Koi,Fairfax / Melrose,Asian Fusion,"734 N La Cienega Blvd, Los Angeles, CA 90069",(310) 659-9449,,https://koirestaurant.com/,https://www.yelp.com/biz/koi-los-angeles-los-angeles,Contact directly,,Opened 2002. Celebrity hotspot. Koi Crispy Rice and Miso Bronzed Cod are signatures.
Bludso's BBQ,Fairfax / La Brea,BBQ (Texas-style),"609 N La Brea Ave, Los Angeles, CA 90036",(323) 931-2583,labrea@bludsosbbq.com,https://www.bludsosbbq.com/,https://www.yelp.com/biz/bludsos-bbq-los-angeles-2,Contact directly,,Texas-style BBQ.
