Restaurant Name,Neighborhood,Cuisine Type,Address,Phone,Email,Website,Yelp URL,Private Dining / Event Info,Approximate Capacity,Notes
Matsuhisa Beverly Hills,Beverly Hills,Japanese / Peruvian Fusion,"129 N La Cienega Blvd, Beverly Hills, CA 90211",(310) 659-9639,events@matsuhisabeverlyhills.com,https://matsuhisabeverlyhills.com/,https://www.yelp.com/biz/matsuhisa-beverly-hills,"Private room (22); Larger space (100); Off-site catering","22 (room); 100 (larger)",Chef Nobu Matsuhisa's original restaurant (1987).
Lawry's The Prime Rib,Beverly Hills,Steakhouse / Prime Rib,"100 N La Cienega Blvd, Beverly Hills, CA 90211",(310) 652-2827,,https://www.lawrysonline.com/lawrys-the-prime-rib-beverly-hills/,https://www.yelp.com/biz/lawrys-the-prime-rib-beverly-hills-beverly-hills-4,"Daytime: 25-500. Evenings: private rooms up to 80.","500 (daytime); 80 (evening)",Since 1938. Home of Lawry's Seasoned Salt.
The Polo Lounge,Beverly Hills,American Fine Dining,"9641 Sunset Blvd, Beverly Hills, CA",(310) 887-2777,,https://www.dorchestercollection.com/los-angeles/the-beverly-hills-hotel/dining/polo-lounge,https://www.yelp.com/biz/polo-lounge-beverly-hills-2,"Two private areas (12-70). Polo Private patio + Salon.",12-70,Iconic deal-making spot. Strict dress code after 4PM.
Monsieur Dior by Dominique Crenn,Beverly Hills,French Fine Dining,"323 N Rodeo Dr, Beverly Hills, CA 90210",(310) 859-4700,,https://www.monsieurdiorbeverlyhills.com/,https://www.yelp.com/biz/monsieur-dior-by-dominique-crenn-beverly-hills,"Not publicly detailed",,First Dior restaurant outside Paris. Three-Michelin-star chef.
88 Club,Beverly Hills,Modern Chinese Fine Dining,"9737 S Santa Monica Blvd, Beverly Hills, CA 90210",(310) 968-9955,,https://www.88clubbh.com/,https://www.yelp.com/biz/88-club-beverly-hills-2,"Not publicly detailed; small restaurant","44 seats + 5 at bar",Top Chef winner Chef Mei Lin. Opened 2025.
Sushi Note Omakase,Beverly Hills,Sushi / Omakase,"421 N Rodeo Dr, Beverly Hills, CA 90210",(310) 808-4486,,https://www.sushinoteomakase.com/,https://www.yelp.com/biz/sushi-note-omakase-beverly-hills,"Private events up to 18; Full buyout 20-62","14 seats; 62 (buyout)",20-course tasting menu ($220). Rodeo Collection.
Wally's Beverly Hills,Beverly Hills,New American / Wine Bar,"447 N Canon Dr, Beverly Hills, CA 90210",(310) 475-3540,privateevents@wallywine.com,https://www.wallywine.com/beverlyhills,https://www.yelp.com/biz/wallys-beverly-hills,"PDR (40); Barrel Room (10); Wine Room (22); Large tables (25); Full buyout",40 (PDR),Wine store + restaurant. Open 10AM-12:30AM.
Nate 'n Al's,Beverly Hills,Jewish Deli,"414 N Beverly Dr, Beverly Hills, CA 90210",(310) 274-0101,,https://www.natenals.com/,https://www.yelp.com/biz/naten-als-beverly-hills,"Not publicly listed",,Opened 1945. Classic deli. Showbiz hangout.
Il Cielo,Beverly Hills,Italian Fine Dining / Romantic,"9018 Burton Way, Beverly Hills, CA 90211",(310) 276-9990,info@ilcielo.com,https://www.ilcielo.com/,https://www.yelp.com/biz/il-cielo-beverly-hills-3,"Several rooms; custom menus; top 7 places to get married in LA","Multiple rooms",Most romantic restaurant in LA. Founded 1986.
Marea Beverly Hills,Beverly Hills,Coastal Italian / Seafood,"430 N Camden Dr, Beverly Hills, CA 90210",(310) 620-8463,,https://www.marearestaurant.com/beverly-hills,https://www.yelp.com/biz/marea-beverly-hills-beverly-hills-2,"Available; team responds within 24 hours",,Opened January 2025. First West Coast location.
Darling by Sean Brock,West Hollywood,New American / Live-fire,"631 N Robertson Blvd, West Hollywood, CA 90069",(323) 203-0236,info@darling.la,https://www.darling.la/,https://www.yelp.com/biz/darling-west-hollywood,"Contact restaurant",,James Beard Award-winning chef. Opened August 2025.
