Restaurant Name,Neighborhood,Cuisine Type,Address,Website,Phone,Email,Yelp URL,Private Dining / Event Space / Buyout Info,Approximate Capacity,Notes
"Malibu Farm Pier Cafe","Malibu (Malibu Pier)","Farm-to-Table / Californian / Cafe","23000 Pacific Coast Hwy (end of pier), Malibu, CA 90265","https://www.malibu-farm.com/malibu-pier/","(310) 456-8850","","https://www.yelp.com/biz/malibu-farm-pier-cafe-malibu","","","Counter-service cafe at end of pier, over the Pacific Ocean. Casual, lighter fare."
"Taverna Tony","Malibu (Civic Center / Country Mart area)","Greek","23410 Civic Center Way, Malibu, CA 90265","https://www.tavernatony.com","(310) 317-9667","","https://www.yelp.com/biz/taverna-tony-malibu-2","Catering for birthday parties and events available. Contact directly for private dining. Reservations via Resy.","","Over 30 years in Malibu. Live band Thu-Sun evenings, belly dancing Fri-Sat. Indoor-outdoor seating. Mon-Thu 11:30am-9pm; Fri 11:30am-11pm; Sat 11am-11pm; Sun 11am-9pm."
"Tra di Noi Ristorante","Malibu (Cross Creek / Country Mart)","Italian","3835 Cross Creek Rd, Ste 8A, Malibu, CA 90265","http://tradinoimalibu.com","(310) 456-0169","","https://www.yelp.com/biz/tra-di-noi-malibu","Contact restaurant directly for private dining inquiries.","","Handmade pasta daily. Over 500 wines from CA, Italy, France. Indoor and outdoor seating. Mon-Sun 12-9pm. 4.6 stars OpenTable."
"Cafe Habana","Malibu (Cross Creek / Lumber Yard)","Cuban / Mexican / Latin","3939 Cross Creek Rd, Malibu, CA 90265","https://www.cafehabana.com","(310) 317-0300","","https://www.yelp.com/biz/cafe-habana-malibu-3","","","Est. 1998 (NYC original). Famous grilled corn, Cuban sandwiches, cocktails. Beautiful patio. Mon-Sun 11am-9pm."
"OLLO","Malibu (Malibu Colony Plaza / PCH)","Californian / Mediterranean / Farm-to-Table","23750 Pacific Coast Hwy, Ste 100, Malibu, CA 90265","https://www.ollomalibu.com","(310) 317-1444","","https://www.yelp.com/biz/ollo-malibu","","","All-day dining: breakfast, brunch, lunch, dinner. Fresh pasta, pizza with Italian-sourced ingredients. Mon-Fri 8am-9pm; Sat 9am-9pm."
"Zinque Malibu","Malibu (Malibu Rd)","French-Inspired / All-Day Cafe","23841 Malibu Rd, Space 21, Malibu, CA 90265","https://lezinque.com/malibu","(424) 644-0730","","https://www.yelp.com/biz/zinqu%C3%A9-malibu","","","Paris-inspired zinc countertop cafe. Small plates, craft cocktails, curated wine. Petanque court. Sun-Thu 7am-11pm; Fri-Sat 7am-12am. Happy Hour Mon-Fri 4-6pm."
"Neptune's Net","Malibu (Far West PCH / County Line)","Seafood / American","42505 Pacific Coast Hwy, Malibu, CA 90265","https://neptunesnet.com","(310) 457-3095","info@neptunesnet.com","https://www.yelp.com/biz/neptunes-net-malibu-6","","","Iconic since 1956. Featured in Point Break, Fast & Furious, Iron Man 3. No reservations. Two kitchens. Mon-Fri 10:30am-7pm; Sat-Sun 10am-7pm."
"Malibu Seafood Fresh Fish Market & Patio Cafe","Malibu (PCH near Malibu Canyon)","Seafood / Fish Market","25653 Pacific Coast Hwy, Malibu, CA 90265","https://www.malibuseafood.com","(310) 456-3430","","https://www.yelp.com/biz/malibu-seafood-fresh-fish-market-and-patio-cafe-malibu","","","Est. 1972. Owned by commercial fishermen. Fresh fish market + patio cafe with ocean views. Mon-Sun 11am-7pm. Cash-friendly, casual."
"The Country Kitchen","Malibu (Eastern Malibu / PCH)","American / Breakfast / Burgers","21239 Pacific Coast Hwy, Malibu, CA 90265","https://thecountrykitchenmalibu.com","(310) 456-8708","","https://www.yelp.com/biz/the-country-kitchen-malibu","","","Est. 1972. Beloved breakfast spot for 40+ years. Walk-up window. Famous breakfast burritos. Mon-Sat 6:30am-4pm; Sun 8am-4pm."
"Bui Sushi","Malibu (Malibu Rd)","Japanese / Sushi","23733 Malibu Rd, Malibu, CA 90265","https://www.buisushi.com","(310) 456-1500","Hello@BuiSushi.com","https://www.yelp.com/biz/bui-sushi-malibu","","","Est. 2006. Finest quality fish from Hawaii and Japan. Mon-Thu 12-8:30pm; Fri-Sat 12-9pm; Sun 12-8:30pm."
"Sake House Malibu","Malibu (PCH near Civic Center)","Japanese / Sushi / Asian Fusion","22741 Pacific Coast Hwy (3rd floor), Malibu, CA 90265","https://www.sakehousemalibu.com","(424) 422-7512","reservations@sakehousemalibu.com","https://www.yelp.com/biz/sake-house-malibu-malibu","","","Est. 2025. Premium sake pairings, Pacific Ocean views. Mon closed; Tue-Fri 4-11pm; Sat 12pm-12am; Sun 12-11pm."
"Malibu Sushi by Howdy","Malibu (Civic Center / Cross Creek)","Japanese-Latin Fusion / Sushi","23401 Civic Center Way, Ste 3A, Malibu, CA 90265","https://www.sushibyhowdy.com","(424) 235-2354","","https://www.yelp.com/biz/malibu-sushi-by-howdy-malibu","","","Est. 2023. Japanese sushi with Latin American flavors. Mon-Sun 11am-9pm."
"Howdy's Sonrisa Cafe","Malibu (Civic Center / Cross Creek)","Mexican / American","23401 Civic Center Way, Malibu, CA 90265","https://howdyscafe.com","(310) 579-7549","","https://www.yelp.com/biz/howdys-sonrisa-cafe-malibu","","","Howdy Kabrins (La Salsa founder). Fresh, healthy Mexican fare."
"Pita 'Bu","Malibu (PCH near Surfrider Beach)","Israeli / Mediterranean / Kosher","22935 E Pacific Coast Hwy, Malibu, CA 90265","","(424) 235-2477","","https://www.yelp.com/biz/pita-bu-malibu","","","Kosher-certified by Chabad of Malibu. Falafel, sabich, vegan shawarma, kebabs. Dog-friendly. Mon-Thu 11am-6pm; Fri 11am-5pm; Sat closed."
"D'Amore's Pizza (PCH)","Malibu (PCH near Civic Center)","Italian / Pizza","22601 Pacific Coast Hwy, Ste 120, Malibu, CA 90265","https://www.damoresfamouspizza.com","(310) 317-4500","DAmoresPizzaMalibu@gmail.com","https://www.yelp.com/biz/d-amores-pizza-malibu","","","Est. 1987. Organic vegetables, hormone-free meats, Naples-imported flour. Gluten-free and dairy-free options. Mon-Sun 11am-9pm."
"D'Amore's Famous Pizza (Heathercliff)","Malibu (Point Dume Village)","Italian / Pizza","29169 Heathercliff Rd, Ste 104, Malibu, CA 90265","https://www.damoresfamouspizza.com","(310) 457-2838","","https://www.yelp.com/biz/d-amores-famous-pizza-malibu","","","Second Malibu location in Point Dume Village. Mon 11am-9pm; Tue closed; Wed-Sun 11am-9pm."
"Gravina Malibu","Malibu (Far West PCH)","Italian","28925 Pacific Coast Hwy, Malibu, CA 90265","http://www.gravinamalibu.com","(310) 457-0711","gravinamalibu@gmail.com","https://www.yelp.com/biz/gravina-malibu-malibu","Contact for party bookings.","","Family-owned. Owner Giuseppe Segreto from Puglia, Italy. Named after his hometown. Mon-Thu 4:30-9pm; Fri-Sat 4:30-10pm; Sun 4:30-9pm."
"Spruzzo Restaurant & Bar (Malibu)","Malibu (Far West PCH / Trancas)","Italian / Pizza / Seafood","29575 Pacific Coast Hwy, Malibu, CA 90265","https://spruzzomalibu.com","(310) 457-8282","spruzzorestaurantandbar@gmail.com","https://www.yelp.com/biz/spruzzo-restaurant-and-bar-malibu","","","Family-owned. Wood-fired pizza, pasta, steaks, seafood. Ocean view patio. Mon-Thu 11am-9pm; Fri-Sun 11am-9:30pm."
"La Nena Cantina","Malibu (Point Dume Village)","Mexican","29169 Heathercliff Rd, Ste 102, Malibu, CA 90265","https://lanenacantina.com","(310) 340-7666","","https://www.yelp.com/biz/la-nena-cantina-malibu-2","","","Elevated Mexican cuisine with Mediterranean aesthetic. Spacious bar. Happy Hour 3-6pm Mon-Fri. Mon-Thu 11am-9pm; Fri-Sat 11am-10pm; Sun 11am-9pm."
"Lily's Malibu","Malibu (Point Dume Village)","Mexican / Latin American / Deli","29211 Heathercliff Rd, Malibu, CA 90265","https://lilysmalibu.com","(310) 457-3745","","https://www.yelp.com/biz/lilys-malibu-malibu","","","Est. 1999. Salvadoran-owned. Famous breakfast burritos and fish tacos. Locals' favorite. Call 45 min ahead to avoid waits. Mon-Fri 7am-6:30pm; Sat 7am-6pm; Sun 9am-6:30pm."
"Le Cafe de la Plage","Malibu (Point Dume Village)","French-Inspired Cafe / Bakery","29169 Heathercliff Rd, Ste 112, Malibu, CA 90265","https://www.lecafedelaplagemalibu.com","(310) 457-3380","","https://www.yelp.com/biz/le-cafe-de-la-plage-malibu","","","French-inspired breakfast and lunch. Handcrafted ice cream (including vegan). Intelligentsia coffee. Mon-Thu 7am-5:30pm; Fri-Sun 7am-6pm."
"SunLife Organics (Point Dume)","Malibu (Point Dume Village)","Juice Bar / Smoothies / Health Food","29169 Heathercliff Rd, Ste 110, Malibu, CA 90265","https://www.sunlifeorganics.com","(310) 457-6161","","https://www.yelp.com/biz/sunlife-organics-malibu","","","Acai bowls, smoothies, fresh juices, superfoods. Mon-Sun 8am-5pm."
"SunLife Organics (Country Mart)","Malibu (Cross Creek / Country Mart)","Juice Bar / Smoothies / Health Food","3835 Cross Creek Rd, Ste 3, Malibu, CA 90265","https://www.sunlifeorganics.com","","","","","","Second Malibu location at Malibu Country Mart."
"Carbon Beach Club (Malibu Beach Inn)","Malibu (Carbon Beach / PCH)","New American / Californian","22878 Pacific Coast Hwy, Malibu, CA 90265","https://www.malibubeachinn.com","(310) 651-7777","","https://www.yelp.com/biz/carbon-beach-club-malibu-2","Contact hotel for private event inquiries.","","Located within the boutique Malibu Beach Inn. Oceanfront dining on Carbon Beach."
"Malibu Brewing Company","Malibu (Trancas Country Market / Far West PCH)","Brewery / American / Californian","30745 E Pacific Coast Hwy R4, Malibu, CA 90265","https://brewmalibu.com","(310) 684-2408","","https://www.yelp.com/biz/malibu-brewing-malibu-7","Private event space available; contact directly.","","Family-owned craft brewery. Taproom & eatery at Trancas Country Market. Mon-Thu 11am-8pm; Fri-Sat 11am-8:30pm; Sun 11am-8pm."
"Marmalade Cafe","Malibu (Cross Creek)","American / Breakfast & Brunch / Californian","3894 Cross Creek Rd, Malibu, CA 90265","https://www.marmaladecafe.com","(310) 317-4242","","https://www.yelp.com/biz/marmalade-cafe-malibu-malibu-5","","","Popular local chain. Vegetarian and gluten-free options. Sun-Thu 8am-8pm; Fri-Sat 8am-9pm."
"Irv's Burgers","Malibu (Park at Cross Creek)","Burgers / American","23401 Cross Creek Rd, Bldg 1, Malibu, CA 90265","https://www.irvsburgers.com","(310) 300-1946","","https://www.yelp.com/biz/irvs-burgers-malibu","","","Est. 1946 on Route 66. Shares space with Prince Street Pizza. Burgers, hot dogs, shakes, fries. Mon-Sun 11am-9pm."
"Prince Street Pizza","Malibu (Park at Cross Creek)","Pizza","23401 Cross Creek Rd, Malibu, CA 90265","https://www.princestreetpizza.com","","","","","","NYC-born (est. 2012). Famous pepperoni square slices. Shares space with Irv's Burgers."
"John's Garden","Malibu (Cross Creek / Country Mart)","Deli / Salads / Sandwiches / Juice","3835 Cross Creek Rd, #1, Malibu, CA 90265","https://www.johnsgardenmalibu.com","","","","","","Est. 1975. Started as produce stand. 12 salad varieties, 42+ sandwich varieties, soups, juices. Local favorite."
"Malibu Mutt's Grill","Malibu (Cross Creek / Country Mart)","American / Casual","3835 Cross Creek Rd, Malibu, CA 90265","","","","","","","Casual American fare at Malibu Country Mart. Great for families by the playground."
"Scott's Malibu Market","Malibu (Cross Creek / Country Mart)","Cafe / American","3835 Cross Creek Rd, Malibu, CA 90265","","","","","","","Newest eatery at Country Mart. Breakfast, lunch, and dinner daily."
"Alfred Coffee (Malibu)","Malibu (Cross Creek / Country Mart)","Coffee / Cafe","3835 Cross Creek Rd, #7, Malibu, CA 90265","https://alfred.la","","","","","","Trendy coffee chain. Outdoor seating at Country Mart."
"Chipotle Mexican Grill (Malibu)","Malibu (Cross Creek area)","Mexican / Fast Casual","Cross Creek area, Malibu, CA 90265","https://www.chipotle.com","","","","","","Fast-casual chain. Near Malibu Country Mart."
"La La Cabana","Malibu (Eastern Malibu)","Mediterranean / Moroccan","Eastern Malibu, CA 90265","","","","","","","New opening 2025. Bright Mediterranean and Moroccan eatery in East Malibu."
"Moonshadows","Malibu (PCH)","Seafood / New American","20356 Pacific Coast Hwy, Malibu, CA 90265","https://moonshadowsmalibu.com","(310) 456-3010","","https://www.yelp.com/biz/moonshadows-malibu","Formerly offered private events and buyouts.","","PERMANENTLY CLOSED. Destroyed in Palisades Fire Jan 2025. Est. 2001. Was Travel Channel's 'sexiest beach restaurant.' Wine Spectator Award of Excellence 2006-2011."
"Reel Inn Malibu","Malibu (PCH near Topanga border)","Seafood","18661 Pacific Coast Hwy, Malibu, CA 90265","https://reelinnmalibu.com","(310) 456-8221","","https://www.yelp.com/biz/reel-inn-malibu-malibu-2","","","CLOSED. Est. 1986. Classic roadside fish shack. Chalkboard menu of daily catches."
"Cholada Thai Beach Cuisine","Malibu (PCH near Topanga border)","Thai","18763 Pacific Coast Hwy, Malibu, CA 90265","https://www.choladathaicuisine.com","(310) 317-0025","","https://www.yelp.com/biz/cholada-thai-beach-cuisine-malibu","","","CLOSED. Destroyed in Palisades Fire Jan 2025. State Parks declined lease renewal. Long Beach location still open."
"Mr. Chow Malibu","Malibu (Cross Creek / Country Mart)","Chinese / Beijing Cuisine","3835 Cross Creek Rd, Ste 18A, Malibu, CA 90265","http://www.mrchow.com","(310) 456-7600","","https://www.yelp.com/biz/mr-chow-malibu-3","","","CLOSED. Beverly Hills flagship remains open."
"Gladstones","Pacific Palisades (PCH at Sunset Blvd)","Seafood / American","17300 Pacific Coast Hwy, Pacific Palisades, CA 90272","https://www.gladstones.com","(310) 454-3474","","https://www.yelp.com/biz/gladstones-pacific-palisades-4","Up to 1,500 guests. Outdoor decks, beachfront access, on-site and off-site catering. Banquet facilities, private rooms. Contact Gladstone Events at (310) 454-3474.","1,500 (max)","Est. 1972. LA landmark at Sunset Blvd & PCH. Survived 2025 fire. Oct 2025: Coastal Commission approved demolition for Wolfgang Puck/Frank Gehry redesign. Currently outdoor-only service. Valet $10-11."
"Giorgio Baldi (Il Ristorante di Giorgio Baldi)","Pacific Palisades (W Channel Rd)","Italian / Fine Dining","114 W Channel Rd, Santa Monica, CA 90402","https://www.giorgio-baldi.com","(310) 573-1660","","https://www.yelp.com/biz/il-ristorante-di-giorgio-baldi-santa-monica","Private Room available for parties. Contact restaurant directly.","","Celebrity favorite. 30+ years. Dinner only 5-10pm, closed Mondays. Business casual dress code. Not on OpenTable; call for reservations. Pasta and seafood specialists."
"Golden Bull","Pacific Palisades (W Channel Rd)","Steakhouse / American","170 W Channel Rd, Santa Monica, CA 90402","https://goldenbullsantamonica.com","(310) 230-0402","","https://www.yelp.com/biz/golden-bull-santa-monica","","","Est. 1949. Classic steakhouse with prime rib, cocktails, wine program. Currently limited hours post-fire: Wed-Sat only. Happy hour 4:30pm weekdays."
"Caffe Delfini","Pacific Palisades (W Channel Rd)","Italian","147 W Channel Rd, Santa Monica, CA 90402","https://caffedelfini.com","(310) 459-8823","","https://www.yelp.com/biz/caff%C3%A9-delfini-santa-monica-4","","","Est. 1990. Romantic Italian near the beach. Dinner only: Mon-Thu 5:30-9pm; Fri-Sat 5:30-9:30pm; Sun 5:30-9pm."
"Hank's","Pacific Palisades (Palisades Village)","New American / British-Inspired","1033 N Swarthmore Ave, Pacific Palisades, CA 90272","https://hankspalisades.com","(424) 363-7166","","https://www.yelp.com/biz/hanks-los-angeles-2","","","TEMPORARILY CLOSED (fire-related). At Caruso's Palisades Village. London-meets-California brasserie. Sister restaurant Amici Brentwood open during closure."
"The Draycott","Pacific Palisades (Palisades Village)","British / Californian / European","15255 Palisades Village Ln, Pacific Palisades, CA 90272","https://www.thedraycott.com","(310) 573-8938","","https://www.yelp.com/biz/the-draycott-pacific-palisades","","","CLOSED. Family-friendly brasserie. British classics with LA ingredients. $31-50 price range."
"Blue Ribbon Sushi (Palisades Village)","Pacific Palisades (Palisades Village)","Japanese / Sushi","Palisades Village, Pacific Palisades, CA 90272","https://www.blueribbonrestaurants.com","","","","","","At Palisades Village. A5 wagyu, maki, sashimi, fried chicken, teppan section. Status uncertain post-fire."
"Blue Ribbon Sports Bar","Pacific Palisades (Palisades Village)","American / Sports Bar","Palisades Village, Pacific Palisades, CA 90272","https://www.blueribbonrestaurants.com","","","","","","First sports bar concept from Blue Ribbon. Craft beers, cocktails, customizable burgers. Status uncertain post-fire."
"Angelini Ristorante & Bar","Pacific Palisades (Palisades Village)","Italian","1038 N Swarthmore Ave, Pacific Palisades, CA 90272","","(424) 238-5870","","https://www.yelp.com/biz/angelini-ristorante-and-bar-los-angeles","","","TEMPORARILY CLOSED. From celebrated chef Gino Angelini. Modern Italian. When open: Mon-Fri 12-9:30pm."
"Porta Via (Palisades Village)","Pacific Palisades (Palisades Village)","Californian / Wine Bar","Palisades Village, Pacific Palisades, CA 90272","","","","","","","All-day California bistro and wine bar. 150+ bottles of wine. Seasonal salads, sandwiches, wild-caught fish, pastas. Status uncertain post-fire."
"Pearl Dragon","Pacific Palisades (Sunset Blvd)","Asian Fusion / Japanese / Sushi","15229 W Sunset Blvd, Pacific Palisades, CA 90272","https://www.thepearldragon.com","(310) 459-9790","","https://www.yelp.com/biz/pearl-dragon-pacific-palisades","","","TEMPORARILY CLOSED. Est. 2001. 20+ years. Organic, sustainable ingredients. When open: dinner 5-9pm daily."
"Casa Nostra Ristorante (Highlands)","Pacific Palisades (Palisades Highlands)","Italian","1515 Palisades Dr, Pacific Palisades, CA 90272","https://casanostrala.com","(424) 268-4885","","https://www.yelp.com/biz/casa-nostra-ristorante-pacific-palisades","","","CLOSED. Est. 2008. Imported Italian products, local produce. Westlake Village location now open."
"Casa Nostra Trattoria on Sunset","Pacific Palisades (Sunset Blvd)","Italian","15306 W Sunset Blvd, Pacific Palisades, CA 90272","https://casanostrala.com","(424) 581-4000","","https://www.yelp.com/biz/casa-nostra-trattoria-on-sunset-pacifc-palisades","","","CLOSED. Second PaliPali location. Classic Italian trattoria."
"Spruzzo Restaurant & Bar (Palisades)","Pacific Palisades (Palisades Dr)","Italian / Pizza","538 Palisades Dr, Pacific Palisades, CA 90272","https://www.spruzzopalisades.com","(424) 426-5900","","https://www.yelp.com/biz/spruzzo-restaurant-and-bar-pacific-palisades","","","Family-owned Italian-American. Pizza, pasta, salad, steak, seafood. Mon-Thu 11am-9pm."
"Cafe Vida","Pacific Palisades (Antioch St / Village)","Latin American / Californian / Breakfast","15317 Antioch St, Pacific Palisades, CA 90272","https://cafevida.net","(310) 573-1335","","https://www.yelp.com/biz/cafe-vida-pacific-palisades-2","","","TEMPORARILY CLOSED. 23+ years serving the community. Low-fat California and Latin dishes. Hoping to rebuild."
"Palisades Garden Cafe","Pacific Palisades (La Cruz Dr / off Sunset)","Cafe / Bakery / Sandwiches","15231 La Cruz Dr, Pacific Palisades, CA 90272","https://www.paligardencafe.com","(310) 459-6160","","https://www.yelp.com/biz/palisades-garden-cafe-pacific-palisades","","","Neighborhood staple. Great sandwiches and salads, popular vegetarian options. Mon-Fri 6:30am-5pm."
"Moku Sushi","Pacific Palisades (Palisades Highlands)","Japanese / Sushi","524 Palisades Dr, Pacific Palisades, CA 90272","","(424) 272-9329","","https://www.yelp.com/biz/moku-sushi-pacific-palisades","","","Reopened April 2025 after fire. Daily 11:30am-8pm. Fresh sushi, specialty rolls, miso black cod."
"Vittorio's Ristorante & Pizzeria","Pacific Palisades (Marquez Ave / W Channel Rd)","Italian / Pizza","169 W Channel Rd, Santa Monica, CA 90402","http://www.vittoriosla.com","(310) 459-3755","","https://www.yelp.com/biz/vittorios-santa-monica","","","Est. 1984. Southern Italian cuisine. Family-owned. Waiters may break into song. Tue-Sat 11am-9:30pm; Sun 4-9:30pm; Mon closed. Formerly at 16646 Marquez Ave."
"Rocco's Cucina","Pacific Palisades (Sunset Blvd)","Italian / Pizza","17332 W Sunset Blvd, Pacific Palisades, CA 90272","https://roccospalisades.com","(310) 573-3727","","https://www.yelp.com/biz/roccos-cucina-pacific-palisades","","","TEMPORARILY CLOSED. Est. 2000. New York style pizza. Homemade Italian food. Bronx-inspired."
"Matthew's Garden Cafe","Pacific Palisades (Swarthmore Ave)","Cafe / Breakfast & Brunch","859 1/2 Swarthmore Ave, Pacific Palisades, CA 90272","","(310) 573-9777","","https://www.yelp.com/biz/matthews-garden-cafe-pacific-palisades","","","TEMPORARILY CLOSED (fire-related)."
"Taste at the Palisades","Pacific Palisades (Palisades Dr at Sunset)","Californian / Comfort Food / Pizza","538 Palisades Dr, Pacific Palisades, CA 90272","","","","https://www.opentable.com/r/taste-at-the-palisades-pacific-palisades","","","Sister restaurant to Taste on Melrose. Stone oven pizzas, Kobe beef burger, mac n cheese, seasonal dishes. Moderate prices."
"Jemma Pizzeria","Pacific Palisades (Palisades Village)","Pizza / Italian","1061 N Swarthmore Ave, Pacific Palisades, CA 90272","https://www.jemmarestaurants.com/pizzeria","(424) 238-8026","","https://www.yelp.com/biz/jemma-pizzeria-pacific-palisades","","","CLOSED. From the team behind Jame Enoteca and Ospi. Medium-thick charred bubbly crust."
"Edo Little Bites","Pacific Palisades (Palisades Village)","Italian / Cafe / Bakery","Palisades Village, Pacific Palisades, CA 90272","","","","","","","Offspring of Edoardo Baldi's Beverly Hills e. baldi. Cappuccino, pistachio gelato, gnocchi, brioche. Status uncertain post-fire."
"Inn of the Seventh Ray","Topanga","New American / Organic / Californian","128 Old Topanga Canyon Rd, Topanga, CA 90290","https://www.innoftheseventhray.com","(310) 455-1311","","https://www.yelp.com/biz/inn-of-the-seventh-ray-topanga","Fountain Patio (up to 130 guests). Waterfall Patio (up to 45). Garden Room (up to 50, fireplace). Main Dining Room (up to 40, former church). 3 private gazebos. Combined spaces for 250 wedding guests. Indoors: 48 guests. On-site catering. Contact Wedding Sales Director or Private Events Coordinator.","250 (max combined); 48 (indoors only)","Est. 1970s. Creekside dining in Santa Monica Mountains. LA's most romantic restaurant. 90% outdoor seating. Organic, free-range, sustainable. Business casual. Mon-Thu 10am-2:30pm & 5:30-9:30pm; Fri 10am-2:30pm & 5:30-10pm; Sat-Sun 9am-3pm & 5:30-10pm."
