Restaurant Name,Neighborhood,Cuisine Type,Address,Phone,Email,Website,Yelp URL,Private Dining / Event Info,Approximate Capacity,Notes
Howlin' Ray's,Arroyo Parkway Pasadena,Nashville Hot Chicken,"800 S Arroyo Pkwy, Pasadena, CA 91105",(213) 935-8399,hello@howlinrays.com,https://howlinrays.com/,https://www.yelp.com/biz/howlin-rays-pasadena-3,"Not typically available; casual counter-service",~80 seats,Five spice levels. Second location (original in Chinatown).
Colette,East Pasadena,Cantonese / Dim Sum,"975 N Michillinda Ave, Pasadena, CA 91107",(626) 510-6286,info@colettepasadena.com,https://www.colettepasadena.com/,https://www.yelp.com/biz/colette-pasadena-2,"Contact restaurant",~50 seats,Modern Californian twist on Cantonese dim sum.
Javier's,Old Town Pasadena,Elevated Mexican,"24 W Union St, Pasadena, CA 91103",(626) 773-3579,,https://www.javiersfinestfoods.com/pasadena,https://www.yelp.com/biz/javiers-pasadena-11,"Contact restaurant; large space",~150 seats,Heritage elevated Mexican cuisine.
Fogo de Chao,Old Town Pasadena,Brazilian Steakhouse,"234 E Colorado Blvd, Pasadena, CA 91101",(626) 556-9222,pasadena@fogo.com,https://fogodechao.com/location/pasadena/,https://www.yelp.com/biz/fogo-de-ch%C3%A3o-brazilian-steakhouse-pasadena-2,"Yes -- Private dining rooms and event spaces",~200+,Historic bank building. Expansive dining room.
Parkway Grill,Arroyo Parkway Pasadena,New American / California,"510 S Arroyo Pkwy, Pasadena, CA 91105",(626) 795-1001,party@theparkwaygrill.com,https://www.theparkwaygrill.com/,https://www.yelp.com/biz/parkway-grill-pasadena,"Yes -- Grill Room (35); Atrium (20); Full Buyout (200)",200 (full buyout),Wine Spectator Best Of since 1999. Live music nightly.
Bistro 45,South Lake Pasadena,New American / French,"45 S Mentor Ave, Pasadena, CA 91106",(626) 795-2478,bistro45restaurant@gmail.com,https://bistro45.com/,https://www.yelp.com/biz/bistro-45-pasadena,"Yes -- Private party spaces and full catering",~100 seats,31+ years in 1939 Art Deco building.
Bacchus Kitchen + Wine Bar,Pasadena,American / Wine Bar,"1384 E Washington Blvd, Pasadena, CA 91104",(626) 594-6377,info@claudandco.com,https://www.bacchuskitchen.com/,https://www.yelp.com/biz/bacchus-kitchen-wine-bar-pasadena,"Yes -- Private Room (30+); Patio (35+); Full Buyout (80+)",80+ (full buyout),Private dining patio and buyout options.
Lunasia Dim Sum House,Old Town Pasadena,Dim Sum / Cantonese,"239 E Colorado Blvd, Pasadena, CA 91101",(626) 793-8822,cs@lunasiagroup.com,https://lunasiadimsum.com/,https://www.yelp.com/biz/lunasia-dim-sum-house-pasadena-4,"Large space; contact for groups",~150 seats,Michelin Bib Gourmand. Second location (original in Alhambra).
IX Tapa Cantina,Old Town Pasadena,Mexican / Nightlife,"119 E Colorado Blvd, Pasadena, CA 91105",(626) 304-1000,admin@cantinaixtapa.com,https://cantinaixtapa.com/,https://www.yelp.com/biz/ixtapa-cantina-pasadena-2,"Yes -- 7000+ sq ft; 2 full bars; available for private events",~300,Live music dancing salsa nights.
Pie 'n Burger,Pasadena,American Diner / Burgers,"913 E California Blvd, Pasadena, CA 91106",(626) 795-1123,,https://pienburger.com/,https://www.yelp.com/biz/pie-n-burger-pasadena-2,"N/A (small classic diner)",~40 seats,Since 1963. Iconic Pasadena institution near CalTech.
Panda Inn,East Pasadena,Chinese,"3488 E Foothill Blvd, Pasadena, CA 91107",(626) 793-7300,tan.lu@pandaRG.com,https://www.pandainn.com/,https://www.yelp.com/biz/panda-inn-pasadena-4,"Banquet rooms available",~200 seats,Founded 1973 by Andrew Cherng. Original concept that led to Panda Express.
Porto's Bakery (Glendale),Downtown Glendale,Cuban Bakery / Cafe,"315 N Brand Blvd, Glendale, CA 91203",(818) 956-5996,contactus@portosbakery.com,https://www.portosbakery.com/,https://www.yelp.com/biz/portos-bakery-and-cafe-glendale,"N/A (counter service)",~100 seats,#1 place to eat in the US (Yelp). Established 1960.
Raffi's Place,Downtown Glendale,Middle Eastern / Persian,"211 E Broadway, Glendale, CA 91205",(818) 240-7411,,https://www.raffisplace.com/,https://www.yelp.com/biz/raffis-place-glendale-2,"Reservations for 10+ people",~150 seats,Established 1993. No reservations for fewer than 10.
Carousel Restaurant,Downtown Glendale,Lebanese / Armenian,"304 N Brand Blvd, Glendale, CA 91203",(818) 246-7775,info@carouselrestaurant.com,https://carouselrestaurant.com/,https://www.yelp.com/biz/carousel-restaurant-glendale,"Large space; contact for private events",~200 seats,20+ years. Also has a Hollywood location.
Damon's Steak House,Downtown Glendale,Steakhouse / Tiki,"317 N Brand Blvd, Glendale, CA 91203",(818) 507-1510,info@damonsglendale.com,https://www.damonsglendale.com/,https://www.yelp.com/biz/damons-steak-house-glendale,"Large venue; tiki room for events",~200 seats,Since 1937. Vintage Tiki vibe.
Mini Kabob,Glendale,Armenian,"313 1/2 Vine St, Glendale, CA 91204",(818) 244-1343,,https://mini-kabob.com/,https://www.yelp.com/biz/mini-kabob-glendale,"N/A (tiny takeout)",~10 seats,LA Times 101 Best; NY Times Top 50 nationwide. Family-run.
Bacari GDL,The Americana Glendale,Mediterranean / Venetian,"757 Americana Way, Glendale, CA 91210",(323) 986-6763,events@bacari.us,https://www.eatwithbacari.com/gdl-events,https://www.yelp.com/biz/bacari-gdl-glendale-3,"Yes -- Events available at GDL location",~120 seats,Chef Lior Hillel. Venetian-inspired small plates.
Bourbon Steak,Downtown Glendale,Fine Dining Steakhouse,"237 S Brand Blvd, Glendale, CA 91210",(818) 839-4130,events-la@bourbonsteak.com,https://michaelmina.net/,https://www.yelp.com/biz/bourbon-steak-glendale-13,"Yes -- Fine dining private dining available",~150 seats,Chef Michael Mina. Classic Americana with world flavors.
Paradise Dynasty,The Americana Glendale,Chinese (Xiao Long Bao),"177 Caruso Ave, Glendale, CA 91210",(858) 351-4177,,https://www.paradisegp.com/usa/,https://www.yelp.com/biz/paradise-dynasty-glendale,"Contact restaurant",~100 seats,World's first 8-flavored Xiao Long Bao. First LA location.
Zhengyalov Hatz,Downtown Glendale,Armenian,"318 E Broadway, Glendale, CA 91205",(818) 696-9339,,https://zhengyalovhatzla.com/,https://www.yelp.com/biz/zhengyalov-hatz-glendale,"N/A (small bakery)",~20 seats,2025 Michelin Guide featured. Armenian flatbread with 10+ herbs.
Castaway Burbank,Burbank Hills,California / Steakhouse,"1250 E Harvard Rd, Burbank, CA 91501",(818) 848-6691,castawayburbank@srcmail.com,https://www.castawayburbank.com/,https://www.yelp.com/biz/castaway-burbank-burbank-6,"Yes -- Full-service events team. Weddings corporate private parties.",~300+,Hilltop views of LA skyline. Modern gourmet experience.
The Smoke House,Downtown Burbank,American Steakhouse,"4420 W Lakeside Dr, Burbank, CA 91505",(818) 845-3731,,https://www.smokehouse1946.com/,https://www.yelp.com/biz/smoke-house-burbank-6,"Yes -- Classic event space",~200 seats,Burbank classic since 1946. Adjacent to Warner Bros. studio.
Bob's Big Boy,Burbank,American Diner,"4211 W Riverside Dr, Burbank, CA 91505",(818) 843-9334,,https://bobs.net/,https://www.yelp.com/biz/bob-s-big-boy-burbank,"Classic car show Fridays; special events possible",~150 seats,Oldest Big Boy in the country. Iconic Googie architecture.
Porto's Bakery (Burbank),Magnolia Park Burbank,Cuban Bakery / Cafe,"3614 Magnolia Blvd, Burbank, CA 91505",(818) 846-9100,,https://www.portosbakery.com/,https://www.yelp.com/biz/portos-bakery-and-cafe-burbank,"N/A (counter service)",~80 seats,Same legendary Cuban bakery.
Olive & Thyme,Burbank / Toluca Lake,Gourmet Cafe / Mediterranean,"3821 W Riverside Dr, Burbank, CA 91505",(818) 557-1560,,https://oliveandthyme.com/,https://www.yelp.com/biz/olive-and-thyme-toluca-lake-2,"Yes -- Full-service catering; Hollywood Bowl baskets",~60 seats per location,Chef Melina Davies. 50+ international cheeses. 3 locations.
Palma Ristorante,Downtown Burbank,Fine Dining / Steakhouse,"269 E Palm Ave, Burbank, CA 91502",(818) 748-3000,info@palmaburbank.com,https://palmausa.com/,https://www.yelp.com/biz/palma-ristorante-burbank,"Contact restaurant; upscale venue",~100 seats,Premier fine dining in Burbank. Open late.
Morton's The Steakhouse (Burbank),Burbank Media District,Fine Dining Steakhouse,"3400 W Olive Ave, Burbank, CA 91505",(818) 238-0424,,https://www.mortons.com/location/mortons-the-steakhouse-burbank-ca/,https://www.yelp.com/biz/mortons-the-steakhouse-burbank,"Yes -- Private dining rooms for 10 to 100",Up to 100 (private),Adjacent to NBC Warner Bros Disney ABC Universal.
Gus's BBQ,South Pasadena,BBQ / Southern,"808 Fair Oaks Ave, South Pasadena, CA 91030",(626) 799-3251,southpasadena@gussbbq.com,https://www.gussbbq.com/,https://www.yelp.com/biz/guss-barbecue-south-pasadena,"Yes -- Private room up to 20; full catering available","20 (private); ~120 total",Since 1946. On historic Route 66. Meats smoked over pecan logs.
Cannonball,South Pasadena,New American / Wine Bar,"1010 Mission St, South Pasadena, CA",(310) 954-9279,hello@cannonballla.com,https://www.cannonballla.com/,https://www.yelp.com/biz/cannonball-south-pasadena,"Patio with 100-year-old oak tree; contact restaurant",~40 seats,Chef Matt Molina (James Beard Award winner). Hundreds of wines.
Chengdu Taste,Alhambra,Sichuan Chinese,"828 W Valley Blvd, Alhambra, CA 91803",(626) 588-2284,,https://chengdu-taste-alhambra.com/,https://www.yelp.com/biz/chengdu-taste-alhambra-6,"Large restaurant; contact for groups",~100 seats,Michelin Bib Gourmand. Iconic LA Sichuan staple.
Lunasia Dim Sum House (Alhambra),Alhambra,Dim Sum / Cantonese,"500 W Main St, Alhambra, CA 91801",(626) 308-3222,cs@lunasiagroup.com,https://lunasiadimsum.com/,https://www.yelp.com/biz/lunasia-dimsum-house-alhambra-2,"Large space; contact for group events",~150 seats,Michelin Bib Gourmand 2025. Original location.
Sichuan Impression,Alhambra,Sichuan Chinese,"235 W Main St, Ste B, Alhambra, CA 91801",(626) 283-4622,,https://www.sichuanimpressions.com/,https://www.yelp.com/biz/sichuan-impression-alhambra-3,"Large tables communal dining; contact for groups",~80 seats,Michelin Bib Gourmand 2025.
Yang's Kitchen,Alhambra,Modern Taiwanese-Chinese,"112 W Main St, Alhambra, CA 91801",(626) 281-1035,hello@yangskitchenla.com,https://www.yangskitchenla.com/,https://www.yelp.com/biz/yang-s-kitchen-alhambra,"Limited; dinner reservations Thu-Sun via OpenTable",~40 seats,#1 ranked restaurant in Alhambra.
Ipoh Kopitiam,Alhambra,Malaysian,"1411 S Garfield Ave, Ste 104, Alhambra, CA 91801",(626) 703-4198,,https://www.ipoh-kopitiam.com/,https://www.yelp.com/biz/ipoh-kopitiam-alhambra,"Contact restaurant",~40 seats,Michelin Bib Gourmand 2025.
Julienne Fine Foods,San Marino,French-inspired / Provencal,"2649 Mission St, San Marino, CA 91108",(626) 441-2299,,https://www.juliennetogo.com/,https://www.yelp.com/biz/julienne-san-marino,"Yes -- Celebrations catering and events","~60 seats (cafe); larger for catering",40 years in San Marino. Established 1985.
